"Species","Common_name","Level.of.evidence","Location_observation","Prey","Species_repartition","Paper"
"Halichoeres hortulanus ","Checkerboard wrasse","Video of multiple individuals at a single location","Lakshadweep Archipelago. India. Indian Ocean","Sea urchin","Indo-Pacific","Jaishankar et al. 2024"
"Halichoeres maculipinna ","Clown wrasse","Description in a paper on another subject","Carrie Bow Cay. Belize. Caribbean Sea","Crab","Western Atlantic","Wainwright 1998"
"Halichoeres poeyi ","Blackear wrasse","Description in a paper on another subject","Meros Island. Brazil. West Atlantic Ocean","crab","Western Atlantic","Carvalho-Filho 1993"
"Lachnolaimus maximus ","Hogfish","Description in a paper on another subject","Florida Keys. USA. West Atlantic Ocean","Sea urchin","Western Atlantic","Phillips 1964"
"Pseudolabrus luculentus ","Orange wrasse","Video of one individual at a single location","Lord Howe Island. Australia. West Pacific Ocean","Crab","Southwest Pacific","Pryor 2022"
"Pseudolabrus miles ","Scarlet wrasse","Description in a paper on another subject","Aquarium","Crab","Southwest Pacific","Hazlett & McLay 2000"
"Semicossyphus pulcher ","California sheephead","Video of multiple individuals at a single location","Point Loma. USA. East Pacific Ocean","Sea urchin","Eastern Pacific","Dunn 2016"
"Symphodus mediterraneus ","Axillary wrasse","Description in a paper on another subject","Banyuls sur mer. France. Mediterranean sea","Crab","Eastern Atlantic,Mediterranean","Wirtz & Diesel 1983"
"Thalassoma hardwicke ","Sixbar wrasse","Video of one individual at a single location","Aquarium","Big food pellet","Indo-Pacific","Pasko 2010"
"Thalassoma jansenii ","Jansen's wrasse","Video of multiple individuals at a single location","Lakshadweep Archipelago. India. Indian Ocean","Sea urchin","Indo-West Pacific","Jaishankar et al. 2024"
"Thalassoma lunare ","Moon wrasse","Video of one individual at a single location","Lakshadweep Archipelago. India. Indian Ocean","Sea urchin","Indo-Pacific","Jaishankar et al. 2024"
"Thalassoma lunare ","Moon wrasse","Description in a paper on anvil use","Aquarium","Big food pellet","Indo-Pacific","Pasko 2010"
"Thalassoma lutescens ","Yellow-brown wrasse","Description in a paper on another subject","Unknown","Unknown","Indo-Pacific","Heiser 1981"
"Thalassoma pavo ","Ornate wrasse","Description in a paper on another subject","Cabrera. Spain. Mediterranean sea Sea","Sea urchin","Eastern Atlantic,Mediterranean","Sala 1997"
